Date,Price,Open,High,Low,Vol.,Change %
01/04/2021,243.26,239.82,248.16,239.06,145.91M,3.42%
01/05/2021,245.04,241.22,246.95,239.73,96.74M,0.73%
01/06/2021,251.99,252.83,258,249.7,134.10M,2.84%
01/07/2021,272.01,259.21,272.33,258.4,154.50M,7.94%
01/08/2021,293.34,285.33,294.83,279.46,225.17M,7.84%
01/11/2021,270.4,283.13,284.81,267.87,178.66M,-7.82%
01/12/2021,283.15,277,289.33,275.78,138.81M,4.72%
01/13/2021,284.8,284.25,286.82,277.33,99.94M,0.58%
01/14/2021,281.67,281.13,287.67,279.58,93.80M,-1.10%
01/15/2021,275.39,284,286.63,273.03,116.33M,-2.23%
01/19/2021,281.52,279.27,283.33,277.67,76.10M,2.23%
01/20/2021,283.48,286.25,286.5,279.09,77.00M,0.70%
01/21/2021,281.66,285,285.24,280.47,61.79M,-0.64%
01/22/2021,282.21,278.1,282.67,276.21,60.20M,0.20%
01/25/2021,293.6,285,300.13,279.61,123.52M,4.04%
01/26/2021,294.36,297.13,298.63,290.53,69.39M,0.26%
01/27/2021,288.05,290.12,297.17,286.22,82.00M,-2.14%
01/28/2021,278.48,273.33,282.67,267,79.13M,-3.32%
01/29/2021,264.51,276.67,280.8,260.03,104.97M,-5.02%
02/01/2021,279.94,271.43,280.67,265.19,76.17M,5.83%
02/02/2021,290.93,281.56,293.5,280.73,73.04M,3.93%
02/03/2021,284.9,292.34,292.69,284.35,55.03M,-2.07%
02/04/2021,283.33,285,285.5,277.81,47.44M,-0.55%
02/05/2021,284.08,281.67,288.26,279.66,55.70M,0.26%
02/08/2021,287.81,289.89,292.59,284.92,60.49M,1.31%
02/09/2021,283.15,285.04,286.6,280.58,45.47M,-1.62%
02/10/2021,268.27,281.21,281.61,266.67,108.65M,-5.26%
02/11/2021,270.55,270.81,276.63,267.24,64.87M,0.85%
02/12/2021,272.04,267.09,272.44,261.78,71.31M,0.55%
02/16/2021,265.41,272.67,273.67,264.15,59.41M,-2.44%
02/17/2021,266.05,259.7,266.61,254,78.24M,0.24%
02/18/2021,262.46,260.3,264.9,258.76,53.87M,-1.35%
02/19/2021,260.43,265,265.6,259.12,56.87M,-0.77%
02/22/2021,238.17,254.21,256.17,236.73,111.81M,-8.55%
02/23/2021,232.95,220.71,237.87,206.33,199.82M,-2.19%
02/24/2021,247.34,237.28,248.33,231.39,110.30M,6.18%
02/25/2021,227.41,242.05,245.74,223.53,117.07M,-8.06%
02/26/2021,225.17,233.33,235.57,219.84,123.27M,-0.99%
03/01/2021,239.48,230.04,239.67,228.35,81.41M,6.36%
03/02/2021,228.81,239.43,240.37,228.33,71.20M,-4.46%
03/03/2021,217.73,229.33,233.57,217.23,90.62M,-4.84%
03/04/2021,207.15,218.6,222.82,200,197.76M,-4.86%
03/05/2021,199.32,208.69,209.28,179.83,268.19M,-3.78%
03/08/2021,187.67,200.18,206.71,186.26,155.36M,-5.84%
03/09/2021,224.53,202.73,226.03,198.4,202.57M,19.64%
03/10/2021,222.69,233.43,239.28,218.35,181.82M,-0.82%
03/11/2021,233.2,233.13,234.17,225.73,108.76M,4.72%
03/12/2021,231.24,223.33,231.63,222.05,100.75M,-0.84%
03/15/2021,235.98,231.36,237.73,228.01,88.27M,2.05%
03/16/2021,225.63,234.45,235.97,223.67,96.59M,-4.39%
03/17/2021,233.94,218.96,234.58,217,121.12M,3.68%
03/18/2021,217.72,228.1,229.74,217.33,100.11M,-6.93%
03/19/2021,218.29,215.53,219.08,208.21,128.68M,0.26%
03/22/2021,223.33,228.2,233.21,222.92,118.54M,2.31%
03/23/2021,220.72,225.26,225.93,219.17,91.48M,-1.17%
03/24/2021,210.09,222.64,222.67,210.04,101.39M,-4.82%
03/25/2021,213.46,204.33,215.17,203.17,117.67M,1.60%
03/26/2021,206.24,213.96,214.61,199.96,101.56M,-3.38%
03/29/2021,203.76,205.21,205.49,198.67,85.91M,-1.20%
03/30/2021,211.87,200.58,212.55,197,118.30M,3.98%
03/31/2021,222.64,215.54,224,213.7,100.01M,5.08%
04/01/2021,220.58,229.46,230.81,219.81,105.90M,-0.93%
04/05/2021,230.35,235.9,236.05,228.23,125.53M,4.43%
04/06/2021,230.54,230.1,232.18,227.12,84.82M,0.08%
04/07/2021,223.66,229,230.46,222.61,78.93M,-2.98%
04/08/2021,227.93,225.79,229.85,223.88,71.77M,1.91%
04/09/2021,225.67,225.92,226.99,223.14,64.31M,-0.99%
04/12/2021,233.99,228.57,234.93,227.36,87.41M,3.69%
04/13/2021,254.11,237.57,254.33,236.89,133.96M,8.60%
04/14/2021,244.08,256.9,260.26,242.68,147.05M,-3.95%
04/15/2021,246.28,247.7,247.9,240.44,83.55M,0.90%
04/16/2021,246.59,242.88,249.8,241.53,83.94M,0.13%
04/19/2021,238.21,239.87,241.8,230.6,119.06M,-3.40%
04/20/2021,239.66,239.14,245.75,236.89,106.83M,0.61%
04/21/2021,248.04,234.92,248.28,232.67,93.65M,3.50%
04/22/2021,239.9,247.17,251.26,239.35,106.77M,-3.28%
04/23/2021,243.13,239.93,245.79,238.49,85.24M,1.35%
04/26/2021,246.07,247,249.77,244.2,93.12M,1.21%
04/27/2021,234.91,239.32,241.33,234.45,88.31M,-4.54%
04/28/2021,231.47,232.14,236.17,231.2,66.81M,-1.46%
04/29/2021,225.67,233.17,234.08,222.83,86.54M,-2.51%
04/30/2021,236.48,222.53,238.49,222.05,122.28M,4.79%
05/03/2021,228.3,234.6,235.33,226.83,81.13M,-3.46%
05/04/2021,224.53,226.31,227.82,219.23,89.22M,-1.65%
05/05/2021,223.65,227.02,228.43,222.45,65.71M,-0.39%
05/06/2021,221.18,226.92,227.01,216.67,83.35M,-1.10%
05/07/2021,224.12,221.93,230,220.07,70.41M,1.33%
05/10/2021,209.68,221.63,221.68,209.2,94.18M,-6.44%
05/11/2021,205.73,199.75,209.03,198.53,139.51M,-1.88%
05/12/2021,196.63,200.83,206.8,195.59,101.47M,-4.42%
05/13/2021,190.56,200.51,202.15,186.55,132.55M,-3.09%
05/14/2021,196.58,194.47,197.62,190.15,100.11M,3.16%
05/17/2021,192.28,191.85,196.58,187.07,97.17M,-2.19%
05/18/2021,192.62,189.33,198.75,187.79,110.49M,0.18%
05/19/2021,187.82,184.18,188.74,182.33,118.74M,-2.49%
05/20/2021,195.59,191.67,196.28,190.36,92.46M,4.14%
05/21/2021,193.63,198.7,198.89,193.33,78.09M,-1.00%
05/24/2021,202.15,193.87,204.83,191.22,103.67M,4.40%
05/25/2021,201.56,202.44,204.66,198.57,84.02M,-0.29%
05/26/2021,206.38,202.52,208.72,200.5,85.92M,2.39%
05/27/2021,210.28,206.75,210.38,205.4,79.11M,1.89%
05/28/2021,208.41,209.5,211.86,207.46,68.21M,-0.89%
06/01/2021,207.97,209.27,211.27,206.85,54.25M,-0.21%
06/02/2021,201.71,206.71,207.79,199.71,69.91M,-3.01%
06/03/2021,190.95,200.6,201.52,190.41,90.34M,-5.33%
06/04/2021,199.68,193.24,200.2,192.4,72.11M,4.57%
06/07/2021,201.71,197.27,203.33,194.29,67.63M,1.02%
06/08/2021,201.2,207.67,207.7,198.5,78.16M,-0.25%
06/09/2021,199.59,200.72,203.93,199.21,49.75M,-0.80%
06/10/2021,203.37,201.29,205.53,200.17,71.76M,1.89%
06/11/2021,203.3,203.41,204.19,200.51,48.62M,-0.03%
06/14/2021,205.9,204.08,208.5,203.06,61.27M,1.28%
06/15/2021,199.79,205.56,205.6,199.41,53.29M,-2.97%
06/16/2021,201.62,199.18,202.83,197.83,66.43M,0.92%
06/17/2021,205.53,200.63,207.16,200.45,68.10M,1.94%
06/18/2021,207.77,204.46,209.45,203.93,73.68M,1.09%
06/21/2021,206.94,208.16,210.46,202.96,74.44M,-0.40%
06/22/2021,207.9,206.08,209.52,205.17,57.48M,0.46%
06/23/2021,218.86,210.67,219.07,210.01,93.30M,5.27%
06/24/2021,226.61,225,232.54,222.54,137.95M,3.54%
06/25/2021,223.96,229.86,231.27,222.9,97.49M,-1.17%
06/28/2021,229.57,223.88,231.57,223.44,64.88M,2.50%
06/29/2021,226.92,228.22,229.17,225.3,52.14M,-1.15%
06/30/2021,226.57,226.59,230.94,226.05,56.77M,-0.15%
07/01/2021,225.97,227.97,229.33,224.27,55.90M,-0.26%
07/02/2021,226.3,226.33,233.33,224.42,81.29M,0.15%
07/06/2021,219.86,227.24,228,217.13,69.85M,-2.85%
07/07/2021,214.88,221.42,221.9,212.77,56.38M,-2.27%
07/08/2021,217.6,209.46,218.14,206.82,68.32M,1.27%
07/09/2021,218.98,217.73,219.64,214.9,54.42M,0.63%
07/12/2021,228.57,220.73,229.08,220.72,77.78M,4.38%
07/13/2021,222.85,228.77,231.09,222.1,62.90M,-2.50%
07/14/2021,217.79,223.58,226.2,217.61,64.92M,-2.27%
07/15/2021,216.87,219.46,222.05,212.63,60.63M,-0.42%
07/16/2021,214.74,218.23,218.9,214.07,49.11M,-0.98%
07/19/2021,215.41,209.96,215.73,207.1,63.89M,0.31%
07/20/2021,220.17,217.33,220.8,213.5,46.46M,2.21%
07/21/2021,218.43,219.87,221.62,216.76,41.86M,-0.79%
07/22/2021,216.42,218.81,220.72,214.87,45.32M,-0.92%
07/23/2021,214.46,215.45,216.27,212.43,43.81M,-0.91%
07/26/2021,219.21,216.99,222.73,215.7,76.01M,2.21%
07/27/2021,214.93,221.13,222.17,209.08,98.44M,-1.95%
07/28/2021,215.66,215.66,218.32,213.13,48.02M,0.34%
07/29/2021,225.78,216.6,227.9,216.27,91.18M,4.69%
07/30/2021,229.07,223.92,232.51,223,88.97M,1.46%
08/02/2021,236.56,233.33,242.31,232.8,100.85M,3.27%
08/03/2021,236.58,239.67,240.88,233.67,64.86M,0.01%
08/04/2021,236.97,237,241.63,236.31,51.01M,0.16%
08/05/2021,238.21,238.67,240.32,237.14,38.76M,0.52%
08/06/2021,233.03,237.3,238.78,232.54,46.87M,-2.17%
08/09/2021,237.92,236.72,239.68,235.04,44.15M,2.10%
08/10/2021,236.66,238,238.86,233.96,40.30M,-0.53%
08/11/2021,235.94,237.57,238.39,234.74,29.40M,-0.30%
08/12/2021,240.75,235.45,240.93,233.13,53.05M,2.04%
08/13/2021,239.06,241.24,243.3,238.11,50.19M,-0.70%
08/16/2021,228.72,235.02,236.5,225.47,69.31M,-4.33%
08/17/2021,221.9,224.22,224.86,216.28,71.16M,-2.98%
08/18/2021,229.66,223.25,231.92,223.12,61.05M,3.50%
08/19/2021,224.49,226.07,228.85,222.53,42.94M,-2.25%
08/20/2021,226.75,227.62,230.71,224.57,44.53M,1.01%
08/23/2021,235.43,228.48,237.38,226.92,60.79M,3.83%
08/24/2021,236.16,236.89,238.41,234.21,39.25M,0.31%
08/25/2021,237.07,235.68,238.99,234.67,37.94M,0.39%
08/26/2021,233.72,236.1,238.47,232.54,39.64M,-1.41%
08/27/2021,237.31,235,238.33,234.03,41.50M,1.54%
08/30/2021,243.64,238.24,243.67,237.58,55.81M,2.67%
08/31/2021,245.24,244.33,246.8,242.15,62.57M,0.66%
09/01/2021,244.7,244.69,247.33,243.76,39.61M,-0.22%
09/02/2021,244.13,244.83,246.99,243.51,38.39M,-0.23%
09/03/2021,244.52,244.08,244.67,241.4,45.81M,0.16%
09/07/2021,250.97,246.67,253.4,246.42,60.12M,2.64%
