Date,Price,Open,High,Low,Vol.,Change %
01/03/2022,399.93,382.58,400.36,378.68,104.69M,13.53%
01/04/2022,383.2,396.52,402.67,374.35,100.25M,-4.18%
01/05/2022,362.71,382.22,390.11,360.34,80.12M,-5.35%
01/06/2022,354.9,359,362.67,340.17,90.34M,-2.15%
01/07/2022,342.32,360.12,360.31,336.67,84.16M,-3.54%
01/10/2022,352.71,333.33,353.03,326.67,91.81M,3.04%
01/11/2022,354.8,351.22,358.62,346.27,66.06M,0.59%
01/12/2022,368.74,359.62,371.61,357.53,83.74M,3.93%
01/13/2022,343.85,369.69,371.87,342.18,97.21M,-6.75%
01/14/2022,349.87,339.96,350.67,337.79,72.92M,1.75%
01/18/2022,343.5,342.2,356.93,338.69,66.99M,-1.82%
01/19/2022,331.88,347.23,351.56,331.67,75.44M,-3.38%
01/20/2022,332.09,336.58,347.22,331.33,70.49M,0.06%
01/21/2022,314.63,332.11,334.85,313.5,103.42M,-5.26%
01/24/2022,310,301.59,311.17,283.82,152.38M,-1.47%
01/25/2022,306.13,304.73,317.09,301.07,86.60M,-1.25%
01/26/2022,312.47,317.48,329.23,302,104.87M,2.07%
01/27/2022,276.37,311.12,311.8,276.33,147.11M,-11.55%
01/28/2022,282.12,277.19,285.83,264,134.79M,2.08%
01/31/2022,312.24,290.9,312.66,287.35,104.44M,10.68%
02/01/2022,310.42,311.74,314.57,301.67,73.14M,-0.58%
02/02/2022,301.89,309.39,310.5,296.47,66.79M,-2.75%
02/03/2022,297.05,294,312.33,293.51,78.86M,-1.60%
02/04/2022,307.77,299.07,312.17,293.72,73.63M,3.61%
02/07/2022,302.45,307.93,315.92,300.9,60.99M,-1.73%
02/08/2022,307.33,301.84,308.76,298.27,50.73M,1.61%
02/09/2022,310.67,311.67,315.42,306.67,52.26M,1.09%
02/10/2022,301.52,302.79,314.6,298.9,66.13M,-2.95%
02/11/2022,286.67,303.21,305.32,283.57,79.65M,-4.93%
02/14/2022,291.92,287.19,299.63,284.38,67.76M,1.83%
02/15/2022,307.48,300,307.67,297.79,57.65M,5.33%
02/16/2022,307.8,304.68,308.81,300.4,51.29M,0.10%
02/17/2022,292.12,304.42,306.17,291.37,55.18M,-5.09%
02/18/2022,285.66,295.33,295.62,279.2,68.50M,-2.21%
02/22/2022,273.84,278.04,285.58,267.03,83.29M,-4.14%
02/23/2022,254.68,276.81,278.43,253.52,95.26M,-7.00%
02/24/2022,266.92,233.46,267.49,233.33,135.32M,4.81%
